artist,title,genre,mood,year
Architecture In Helsinki,Heart it Races (Frank Tetaz Remix),Rock,happy,2007
Alice In Chains,Lesson Learned,Rock,sad,2009
Ini Kamoze,Here Comes The Hotstepper,Ska,happy,1995
Baroness,The Sweetest Curse,Rock,sad,2009
Placebo,Slave To The Wage,Pop,sad,2000
Metallica,Hit The Lights,Rock,happy,1982
Mötley Crüe,Get It For Free,Rock,happy,1999
Keb' Mo',Still There For Me,Blues,happy,2006
Cauterize,Shooting Stars,Rock,,2003
Robben Ford,Something For The Pain,Jazz,sad,2002
Anti-Flag,This Is NOT a Crass Song,Rock,happy,1999
Rickie Lee Jones,Skeletons (Live Acoustic Version),Rock,sad,1981
Shelby Lynne,Old Times Sake,Country,sad,2005
Franz Ferdinand,Eleanor Put Your Boots On,Rock,happy,2005
James Taylor,Steamroller Blues,Pop,happy,1970
BigElf,Falling Bombs,Rock,sad,2003
Kelly Clarkson,My Life Would Suck Without You,Rock,happy,2009
The Exies,Creeper Kamikaze,Rock,happy,2003
Buzzcocks,Strange Thing,Rock,happy,1980
3 Doors Down,It's Not Me,Rock,sad,2003
Ma Rainey,Ma Rainey's Black Bottom,Blues,happy,1927
Zombie Girl,I Want It,Electronic,sad,2006
Bone Thugs-N-Harmony,Murder One,Hip Hop/Rap,sad,2000
Mastodon,Deep Sea Creature,Rock,sad,2001
Radiohead,Subterranean Homesick Alien,Rock,,1997
Dave Hollister,Tell Me Why,Soul,sad,2006
DMX,Damien,Hip Hop/Rap,happy,1998
Jewel,Serve The Ego (Hani Num Dub),Rock,happy,2002
Nick Cave & The Bad Seeds,Still In Love,Rock,sad,2003
Bury Your Dead,Closed Eyes,Rock,sad,2009
G-Unit,Poppin' Them Thangs,Hip Hop/Rap,sad,2003
Saosin,Bury Your Head,Rock,sad,2005
Warren Barfield,Shadow,Christian,happy,2006
Dilated Peoples,Big Business,Hip Hop/Rap,sad,2004
Fever Ray,I'm Not Done,Electronic,happy,2009
Johnny Cash,I Got Stripes (Live),Country,happy,2006
Autumnblaze,Her Golden Robe In Silence Veiled,Rock,sad,1999
Kris Kristofferson,Same Old Song,Country,happy,1974
Gary Moore,Rockin' Every Night (Live),Rock,happy,2005
Christina Aguilera,Walk Away,Pop,sad,2002
Tammy Wynette,Stand By Your Man,Country,sad,1968
Whitesnake,Young Blood (2007 Digital Remaster),Rock,happy,1982
Ensiferum,Hero In A Dream,Rock,happy,1999
Red Hot Chili Peppers,Get On Top (Album Version),Rock,sad,1999
Tom Petty And The Heartbreakers,Mary Jane's Last Dance,Rock,happy,1993
John Hammond,Come To Find Out,Blues,happy,2005
Sweet,Airheads,Rock,happy,2002
Chimaira,The Flame,Rock,sad,2007
Snow Patrol,Chocolate,Rock,sad,2003
Sex Pistols,New York (Dave Goodman Demo Version) (Explicit),Rock,happy,1977
Michael Jackson,HISTORY,R&B,sad,1995
Bad Brains,Destroy Babylon,Rock,sad,1983
Raze,Follow Your Dreams (The Plan Album Version),Hip Hop/Rap,happy,2000
The Presets,Yippiyo-Ay,Electronic,happy,2008
Jennifer Lopez,Talk About Us,Pop,sad,1999
Silverstein,FRIENDS IN FALL RIVER  (LP Version),Rock,happy,2006
Alice In Chains,Brother,Rock,,1992
Matisyahu,Exaltation,Ska,happy,2004
Donny Hathaway,I Love You More Than You'll Ever Know (LP Version),Soul,happy,1990
Eddie Money,Two Tickets To Paradise,Rock,happy,1977
Cracker,Shake Some Action,Rock,happy,1995
Sade,Smooth Operator,R&B,happy,1983
Kenny Price,Biloxi,Country,happy,1970
3 Doors Down,Sarah Yellin',Rock,sad,2002
The Rapture,Killing,Rock,sad,2003
Dinosaur Jr,On The Brink,Rock,sad,1994
Snow Patrol,Half The Fun,Rock,sad,2004
The Box Tops,Neon Rainbow,Soul,happy,1967
Ultimate Fakebook,Brokÿn Nëedle,Rock,happy,2000
Darwin Hobbs,You Are God (Broken Album Version),Christian,happy,2003
Tommy James & The Shondells,Crimson And Clover,Rock,happy,1969
Britney Spears,Don't Go Knockin' On My Door,Pop,happy,2000
Skeletonwitch,Sacrifice for the Slaughtergod,Rock,sad,2007
Kix,Cold Blood (LP Version),Rock,happy,1988
Maximilian Hecker,Full Of Voices,Pop,sad,2005
Whitesnake,Fool For Your Loving,Rock,sad,1980
Semisonic,If I Run,Rock,happy,1993
Novaspace,Guardian Angel,Electronic,sad,2002
Colin James,Sending A Message,Rock,happy,2003
John Mayer,Something's Missing,Rock,sad,2003
Dropline,Weight Of The World (Album Version),Rock,sad,2010
Furry Lewis,Judge Boushay Blues,Blues,sad,1972
Cancer Bats,Sabotage,Rock,sad,2010
DJ Quik,Pacific Coast Remix,Hip Hop/Rap,happy,2006
Blackalicious,Rock the Spot,Hip Hop/Rap,happy,1999
R.E.M.,So. Central Rain (2006 Digital Remaster),Rock,sad,1984
King Diamond,The Portrait (Live) (Reissue) (Album Version),Rock,sad,
Simple Minds,Careful In Career,Rock,sad,1981
Rihanna,Don't Stop The Music,R&B,happy,2007
Dokken,Disease,Rock,sad,2008
Guns N' Roses,Mama Kin,Rock,happy,1986
Skrape,Searching For Home,Rock,sad,2003
Céline Dion,The Reason I Go On,Pop,happy,2007
Silverchair,Cicada,Rock,happy,1995
Metallica,The End Of The Line,Rock,happy,2008
Casiotone For The Painfully Alone,Rice Dream Girl,Jazz,sad,1999
Mando Diao,Misty Mountains,Rock,happy,2007
Donnie McClurkin,All I Ever Really Wanted,Christian,happy,2003
Lost Boyz,Get Your Hustle On,Hip Hop/Rap,sad,1997
Daath,Above Lucium (LP Version),Rock,sad,2006
Suicidal Tendencies,Human Guinea Pig,Rock,sad,1987
Jennifer Brown,Naked,Pop,happy,1998
Pepper,Freeze,Rock,happy,2008
Red Hot Chili Peppers,Naked In The Rain (Album Version),Rock,happy,1991
Jonny Lang,The One I Got,Christian,happy,2003
Novembre,Triesteitaliana,Rock,sad,
Donna The Buffalo,Tides Of Time,Rock,happy,1999
Little Feat,Down On The Farm (2006 Remastered Edit Version),Pop,happy,2006
Death From Above 1979,Romantic Rights,Rock,happy,2004
Foo Fighters,If Ever,Rock,happy,2007
Eyehategod,Left To Starve,Rock,sad,1992
The Antlers,Stairs To the Attic,Pop,happy,2007
Open Hand,The Ambush,Rock,sad,2004
Kanye West,Through The Wire,Hip Hop/Rap,happy,2003
Lloyd Banks,South Side Story,Hip Hop/Rap,sad,2004
Sister Hazel,Space Between Us (Album Version),Rock,happy,1994
Kris Kristofferson,Darby's Castle,Country,sad,1970
Bad Religion,Doing Time (Album Version),Rock,sad,1982
Shawn Colvin,Sunny Came Home,Rock,sad,1996
Mobb Deep,Got It Twisted,Hip Hop/Rap,sad,2004
Marty Robbins,Have Thine Own Way Lord,Country,happy,1907
Cool For August,Don't Wanna Be Here (Album Version),Rock,,1997
Monster Magnet,CNN War Theme,Rock,sad,2004
Nirvana,Heart-Shaped Box,Rock,sad,1993
Randy Travis,Down At The Old Corral (Album Version),Country,happy,1993
The Black Crowes,Nonfiction,Rock,happy,1994
G-Unit,Money Make The World Go Around,Hip Hop/Rap,sad,2008
Mat Kearney,Never Be Ready,Rock,happy,2009
Julie Roberts,Unlove Me,Country,sad,2004
The Presets,If I Know You,Electronic,sad,2008
Irma Thomas,River Is Waiting,Blues,happy,2008
The Cardigans,Iron Man,Rock,sad,1996
Connie Francis,Embraceable You (LP Version from 'When The Boys Meet The Girls'),Pop,happy,1965
Silverchair,Suicidal Dream,Rock,sad,1995
U2,New York,Rock,sad,2000
Shakira,Did It Again (featuring Kid Cudi),Pop,sad,2009
Erik Hassle,Don't Bring Flowers,Pop,sad,2009
Soul Embraced,Someday (Immune Album Version),Rock,sad,2003
Nick Cave & The Bad Seeds,The Hammer Song (2010 Digital Remaster),Rock,sad,1986
Avril Lavigne,Innocence,Rock,happy,2007
Chimaira,Severed (demo) (Album Version),Rock,sad,2001
Bumblefoot,Abnormal (Acoustic),Rock,sad,2008
Hem,Redwing,Pop,happy,2004
Coven,Coven In Charing Cross,Rock,sad,1969
Snow Patrol,Shut Your Eyes,Rock,happy,
Dead Prez,Be Healthy,Hip Hop/Rap,happy,2000
Black Flag,Jealous Again,Rock,sad,1980
Muse,Stockholm Syndrome,Rock,sad,2006
The Velvet Underground,I Heard Her Call My Name,Rock,happy,1968
Little Eva,The Loco-Motion,Pop,happy,1962
Simple Minds,Chelsea Girl (Live),Rock,happy,2004
The Killers,Show You How,Rock,sad,2004
David Bowie,Space Oddity (1997 Digital Remaster),Rock,happy,1969
Charlotte Gainsbourg,Tel Que Tu Es,Pop,sad,2006
Aerosmith,Lord Of The Thighs,Rock,happy,1974
Del Tha Funkee Homosapien,Mistadobalina,Hip Hop/Rap,happy,1991
Rihanna,Good Girl Gone Bad,R&B,happy,2007
Britney Spears,Everytime,Pop,sad,2003
Rise Against,State Of The Union,Rock,sad,2004
Helmet,Your Head,Hip Hop/Rap,sad,1995
Shaman,For Tomorrow (live),Electronic,happy,2003
K-OS,Clap Ur Handz,Hip Hop/Rap,happy,2004
Delbert McClinton,Lose Your Money,Country,happy,2000
MC5,Miss X (LP Version),Rock,happy,1971
Washboard Sam,Bucket's Got A Hole In It,Blues,happy,1994
Tammy Wynette,Welcome To My World (Live),Country,happy,2000
Fun Lovin' Criminals,We Have All The Time In The World (Live),Hip Hop/Rap,happy,1996
OutKast,Happy Valentine's Day,Hip Hop/Rap,happy,2003
Warrant,Cherry Pie,Rock,happy,1990
Righteous Brothers,See That Girl,Pop,sad,1965
Randy Travis,Wind In The Wire (Album Version),,sad,1993
Tonic,Where Do I Fit,Rock,sad,2010
Dave Hollister,Bad When U Broke,Soul,sad,2010
Thomas Dolby,One Of Our Submarines,Rock,sad,1982
Randy Travis,On The Other Hand (Remastered Album Version),Country,sad,1986
Aerosmith,Angel,Rock,sad,1987
Michael McDonald,Love Can Break Your Heart (LP Version),Pop,sad,1990
The Pineapple Thief,Snowdrops,Rock,sad,2006
Buddy Jewell,Sweet Southern Comfort,Country,happy,2003
House Of Lords,Rock Bottom,Rock,happy,2006
Fun Lovin' Criminals,Love Unlimited (Explicit),Hip Hop/Rap,happy,1998
Chaotica,Turbocharger,Electronic,sad,2000
Placebo,Hardly Wait,Rock,sad,2009
Kraftwerk,Computer Love (2009 Digital Remaster),Electronic,sad,2007
FFH,Great Big Problem,Christian,sad,2005
NOFX,My Heart Is Yearning,Rock,happy,1994
GWAR,Let's Blame The Lightman,Rock,happy,1997
Sick Puppies,,Rock,sad,2009
Geggy Tah,Gina,Jazz,happy,1996
Loretta Lynn,I Can't Feel You Anymore,Country,happy,1994
Mista,I'll Sweat You (LP Version),Electronic,happy,1996
The Fray,Vienna,Rock,sad,2002
Skeeter Davis,He Says The Same Things To Me,Country,sad,1963
Skeeter Davis,Foggy Mountain Top,Country,happy,1963
Pepper,Stormtrooper (Live),Rock,sad,2009
The Rolling Stones,Time Is On My Side,Rock,happy,1964
Twila Paris,We Will Glorify (Key-B-Db-Premiere Performance Plus),Christian,happy,1991
Bob Carlisle,Man Of No Reputation,Christian,sad,1994
Eminem,Ricky Ticky Toc,Hip Hop/Rap,sad,2004
Barry Manilow,Come Monday,Pop,happy,2001
Dexys Midnight Runners,Until I Believe In My Soul,Rock,happy,1982
Jimi Hendrix,Voodoo Chile Blues,Rock,sad,1994
Tommy Castro,Sho' Enough,Blues,happy,1996
William Orbit,The Monkey King,Rock,sad,1993
Point Of Grace,Amazing (LP Version),Christian,happy,1998
Jack Johnson,You And Your Heart,Rock,sad,2010
Blue October,My Never,Rock,sad,2009
X,Motel Room In My Bed (LP Version),Rock,happy,1982
Jimi Hendrix,Fire,Rock,happy,1969
Phil Collins,Welcome,Pop,happy,2003
Teena Marie,Light,R&B,sad,1984
Mindless Self Indulgence,Never Wanted to Dance (Live In London),Electronic,happy,2008
Jim Bryson,Somewhere Else,Country,sad,2003
Information Society,More to This,Electronic,sad,2007
Foo Fighters,X-Static,Rock,sad,1995
U2,Vertigo,Rock,happy,2004
Pursuit Of Happiness,Hard To Laugh,Rock,happy,1988
Gym Class Heroes,New Friend Request (Amended Version),Hip Hop/Rap,sad,2006
Frankee,Gotta Man,Hip Hop/Rap,happy,2004
Operator,Soulcrusher (Amended Album Version),Rock,sad,2007
The Stooges,T.V. Eye (Take 3),Rock,happy,1999
Snow Patrol,Chasing Cars,Rock,sad,2006
Moonspell,Tired,Rock,sad,1999
Heaven 17,Resurrection Man,Rock,happy,1996
The Suicide Machines,Your Silence,Rock,sad,2003
Vaselines,Teenage Superstars (Album),Rock,sad,1992
THE COOKIES,Chains (LP Version),R&B,happy,1962
Alice In Chains,Sickman,Rock,sad,1992
Seal,Prayer For The Dying (Album Version),Pop,sad,1994
The Pineapple Thief,Boxing Day,Rock,happy,2006
Ziggy Marley And The Melody Makers,What's True,Ska,happy,1988
Static-X,Love Dump (Clean Album Version),Rock,sad,1999
Sleepy John Estes,Street Car Blues,,sad,1930
The Black Crowes,Girl From A Pawnshop,Rock,sad,1996
Foo Fighters,Razor,Rock,sad,2005
Hot Chip,Hold On,Electronic,sad,2008
Mudhoney,It Is Us,Rock,happy,2006
Latif,Luv In the First,R&B,happy,2003
Rickie Lee Jones,Love Is Gonna Bring Us Back Alive,Rock,happy,1989
The Stranglers,It Only Takes Two To Tango,Rock,happy,1981
Babe Ruth,Dancer (2007 Digital Remaster),Pop,happy,1975
Emperor,With Strength I Burn,Rock,sad,1997
Uriah Heep,Wake The Sleeper,Rock,sad,2008
Margaret Becker,Start The Fire,Christian,happy,1989
Sugarbomb,Gone,Rock,happy,2001
Paloalto,Seed,Rock,sad,2003
Margaret Becker,Stay Close To Me,Rock,happy,1990
April Wine,Say Hello,Rock,happy,1979
Al Denson,Love Is Taking Hold,Christian,happy,1971
Whitesnake,Love Ain't No Stranger (2003 Digital Remaster),Rock,happy,2003
Twista,The Day After (featuring Syleena Johnson) (Explicit Chopped & Screwed Version),Hip Hop/Rap,sad,2005
The Police,Wrapped Around Your Finger,Rock,sad,1983
Shania Twain,Raining On Our Love,Country,sad,1995
The High Strung,The Luck You Got,Rock,happy,2005
Pursuit Of Happiness,Down On Him,Rock,sad,1988
K-OS,Heaven Only Knows,Hip Hop/Rap,sad,2002
Dave Hollister,I'm Wrong,Soul,sad,2006
Whitesnake,Don't Mess With Me (2006 Digital Remaster),Rock,happy,1978
Mirah,Apples in the Trees (Live),Rock,happy,2001
Dee Clark,Just Keep It Up,R&B,happy,1990
Tom Cochrane,Revelations:  Visions In A Dream,Rock,,2004
From Autumn To Ashes,Sensory Deprivation Adventure,Rock,sad,2007
Casiotone For The Painfully Alone,Dying Batteries,Jazz,sad,2001
James Taylor,One More Go Round,Rock,happy,1991
Gang Starr,Say Your Prayers,Hip Hop/Rap,sad,1991
Hurricane,I'm On To You,Rock,happy,1988
Wayne Watson,Somebody Sing,Christian,happy,2002
Pearl Jam,4/20/2002,Rock,sad,1993
Petra,Don't Let Your Heart Be Hardened (This Means War Album Version),Christian,happy,1987
Avril Lavigne,How Does It Feel,Rock,sad,2004
Crabby Appleton,Go Back,Rock,sad,1970
Lil Boosie,I Remember (amended album version),Hip Hop/Rap,sad,2006
Wilshire,When,Christian,sad,2003
Cowboy Mouth,Disconnected,Rock,happy,2003
Alice In Chains,I Know Somethin (Bout You),Rock,sad,1990
Amoral,The Last Round,Rock,sad,2004
L.A. Guns,Magdalaine,Rock,happy,1989
UFO,Out In The Street (Live In Cleveland_ Ohio),Rock,happy,1975
Lizzy Borden,There Will Be Blood Tonight,Rock,sad,2000
BigElf,Superstar,Rock,happy,2008
Mike And The Mechanics,Nobody's Perfect,Rock,happy,1988
Atari Teenage Riot,Destroy 2000 Years Of Culture,Electronic,sad,1997
Jeff Beck Group,Jody,Rock,happy,1971
Katie Armiger,Love Without Fear,Country,happy,2007
Hot Tuna,Death Don't Have No Mercy,Rock,,1970
Bob Wills,Bubbles in My Beer,Country,happy,1991
Fat Joe,Prove Something (explicit album version),Hip Hop/Rap,sad,2002
Blue Rodeo,Mystic River,Rock,happy,2007
Ice Cube,Why We Thugs (edited version),Hip Hop/Rap,sad,2006
Radney Foster,Again,Country,sad,2002
Simon & Garfunkel,Old Friends,Pop,sad,1968
Dark Fortress,Evenfall,Rock,sad,2010
Ayo,Down On My Knees,R&B,sad,2006
Mindy McCready,Be With Me,Country,happy,2002
BT,Knowledge Of Self (Evol Intent Remix),Electronic,sad,2004
Geggy Tah,Special Someone,Rock,happy,2001
Bumblefoot,Piranha,Rock,happy,2008
Red Hot Chili Peppers,Venice Queen (Album Version),Rock,happy,2002
Peter Tosh,Soon Come (2002 Digital Remaster),Pop,happy,1978
Blind Willie Johnson,If I Had My Way I'd Tear This Building Down,Blues,happy,1996
Bob Marley,Small Axe,Ska,happy,1999
A Tribe Called Quest,Scenario,Hip Hop/Rap,happy,1991
Epidemic,Catalyst (LP Version),Rock,sad,2002
Dark Fortress,Ghastly Indoctrination,Rock,sad,2006
Jeff Beck Group,Ice Cream Cakes,Rock,happy,1972
Kings Of Leon,Genius,Rock,happy,2003
Michael Jackson,Just A Little Bit Of You,R&B,happy,1975
Kraftwerk,Pocket Calculator (2009 Digital Remaster),Electronic,happy,2009
Stevie Ray Vaughan And Double Trouble,Mary Had A Little Lamb,Rock,happy,1988
L7,This Ain't Pleasure,Rock,sad,1992
Moments In Grace,Broken Promises (album version),Rock,sad,2004
Connie Smith,I'll Come Running,Country,happy,2001
Nine Inch Nails,Survivalism,Rock,sad,2007
Suicidal Tendencies,Two-Sided Politics,Rock,sad,1987
Eminem,Beautiful,Hip Hop/Rap,happy,2009
Mariah Carey,Mine Again,Pop,sad,2005
Frankie J,Gone,R&B,sad,2005
Bob Marley,Lively Up Yourself,Ska,happy,1991
Buzzcocks,Get On Our Own,Rock,happy,1978
Backstreet Boys,Shape Of My Heart,Pop,happy,2000
Korn,Proud,Rock,sad,1996
Devo,Soo Bawlz,Rock,happy,1979
Rihanna,Music Of The Sun,R&B,happy,2005
Matisyahu,Refuge,Ska,sad,2004
Ashton Shepherd,Old Memory,Country,sad,2008
Tom Cochrane,Washed Away,Rock,happy,1992
Gov't Mule,Broke Down On The Brazos (Album),Rock,happy,2009
Sir Douglas Quintet,She's About A Mover,Rock,happy,1999
Michelle Tumes,Christe Eleison (Christ Have Mercy) (Center Of My Universe Album Version),Christian,sad,2000
OutKast,Call Of Da Wild,Hip Hop/Rap,sad,
Michael Jackson,Dirty Diana,R&B,happy,1987
Rea_ Chris,E,Rock,sad,1999
Baby D,Let Me Be Your Fantasy,Electronic,happy,2002
Patti Smith,Wing,Rock,sad,1996
The Fabulous Thunderbirds,Why Get Up,Rock,sad,1986
Van Halen,Can't Stop Lovin' You (Remastered Album Version),Rock,happy,1995
Wolfmother,Dimension,Rock,happy,2004
Suicidal Tendencies,It's Going Down,Rock,sad,1992
Adam Ant,Friend Or Foe,Rock,happy,1982
Rainbow,Can't Happen Here,Rock,sad,1981
Kathy Mattea,The Southern Soldier Boy,Country,sad,1991
White Heart,Edge Of The Dream (Emergency Broadcast Album Version),Christian,happy,2000
Chuck Wicks,If We Loved,Country,sad,2008
Beyoncé,Ring The Alarm,R&B,sad,2006
Steve Vai,Brother,Rock,sad,1996
Mighty Mighty Bosstones,Patricia,Ska,happy,1989
Michael Jackson,We're Almost There,R&B,happy,1975
45 Grave,Party Time,Rock,happy,1989
The Ataris,The Hero Dies in This One,Rock,sad,2003
Fall Out Boy,Dance_ Dance,Rock,happy,2008
White Heart,Hold On,Christian,happy,1982
Patty Griffin,Moses,Rock,sad,1996
The Doors,Strange Days ( LP Version ),Rock,sad,1967
40 Grit,A Part Of Me,Rock,sad,2003
Johnny Horton,Got The Bull By The Horns,Country,happy,1996
Britt Nicole,Don't Worry Now (Performance Track In Key Of Db Without Background Vocals),Christian,sad,2007
Carl Smith,Loose Talk,Country,happy,1990
Patsy Cline,I Cried All The Way To The Altar,Country,sad,1995
Bad Company,Valerie (LP Version),Rock,happy,1986
Incubus,Warning,Rock,sad,2001
Bryan Ferry,Wildcat Days (1999 Digital Remaster),Rock,sad,1994
Santana,Let It Shine,Blues,happy,1976
Janet Jackson,When I Think Of You,R&B,happy,1986
Chris Brown,So Glad,R&B,happy,2005
